ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE
"SI132.03",370960.18969104043
"SI146.05",342223.97877648
"SI146.04",334369.88609760057
"SI146.06",853644.7856102403
"SI96.01",266629.12351487996
"BK221",40906.46270304002
"BK227",62648.00373600003
"BK245",46352.48535936001
"BK247",43311.72240863993
"BK305",59492.13391871999
"BK317.01",38201.59069344
"BK217",26397.887849280003
"BK315",44903.96438544004
"BK215",16344.98924544001
"QN495",21105.735852959995
"QN667.01",43885.79351855998
"QN513",48926.61956591997
"QN511",68641.13239488013
"QN493.02",53108.09249327997
"QN493.01",48559.28094575998
"QN497",50282.37685439999
"QN669",38309.54402591998
"QN517",46827.19666800013
"QN607.01",577739.6187120004
"QN204",63256.65800256008
"QN194",107565.20680464008
"QN198",60624.01810656005
"QN196",62506.07111663997
"QN202",50906.75496048002
"QN413",42431.81449104001
"QN443.01",41677.11664559998
"QN443.02",56984.77377216005
"QN719",47036.832377759994
"QN745",40624.03746144001
"QN455",25427.283338879995
"QN439",24460.02333792004
"QN437.01",23486.37625296003
"QN437.02",33146.13241727998
"QN427",21989.22053760001
"QN614",78548.47516080011
"QN616.01",121987.59086304011
"QN620",63495.65107296001
"QN624",356278.6990540797
"QN612",75000.53128895999
"BK365.02",20482.40290608001
"BK908",72125.36800704006
"BK367",26167.83669647998
"BK369",40004.09547552005
"BK405",21128.984838720004
"BK407",409042.7715902396
"BK1142.01",53265.35411424004
"BK702.01",351527.24275056017
"BK698",81308.62447919998
"BK447",26388.783351359998
"QN539",263707.62484175974
"QN535",150966.41806656
"QN916.02",778124.4850382406
"QN916.01",1589495.7629376
"QN1385.01",396745.0336051201
"QN1291.02",429862.18027391983
"QN552",139095.3605184002
"QN1301",227599.8131865605
"BK133",44073.80604575998
"BK135",51847.49114352002
"BK131",48510.48362400004
"BK71",73509.2981424
"BK127",38789.202421440015
"BK129.01",38162.50173936003
"BK75",94513.5141984
"BX423",38885.960937599986
"BX429.02",7763.024473919995
"BX429.01",16085.673635040015
"BX431",6995.041493759996
"BX421",54382.86155664014
"BX435",3911559.4258977612
"BX419",105132.56392800008
"BX425",59577.16342608001
"BK30",39599.549187839984
"BK34",282544.7613609602
"SI248",612544.7207145601
"BK212",42153.84859536
"BK214",55735.622722080014
"BK116",46736.50007520003
"BK118",67289.64864624005
