ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE
"BX27.02",8203.756495680002
"MN175",36446.55936480001
"MN179",50750.1436608
"MN177",17443.75349952
"MN181",12101.039023679996
"MN185",25841.189607840028
"MN168",38431.22378256003
"MN180",35469.66067344018
"MN174.01",12031.826258880003
"MN170",25453.319415840007
"MN166",18518.64167231999
"MN172",18705.609040320036
"MN162",45034.81831728005
"MN178",55567.97918639998
"MN163",75496.02965280013
"MN167",42808.62922128007
"MN171",36646.46348112002
"MN169",14930.935299359977
"MN165",41879.50591824004
"MN173",17897.445495360003
"MN158.02",3416.068006560003
"MN160.02",2278.7025393600015
"MN150.02",10715.877923040003
"MN160.01",13966.230132000008
"MN158.01",14807.629739520004
"MN164",41002.87283280013
"MN156.01",4699.082214720003
"MN156.02",19187.102270880016
"MN151",34218.41930496014
"MN159",14501.003255999974
"MN155",33730.09770096002
"MN161",13699.319698080013
"MN157",9255.511811520002
"MN150.01",3767.5898841599983
"MN142",16206.02952336
"MN140",15026.578979040021
"MN148.01",2602.7947944000002
"MN138",13210.951642560012
"MN146.01",3783.7782388800006
"MN146.02",8082.959317920004
"MN154",18493.883012160062
"MN148.02",7049.111063040006
"MN144.02",50125.719103199976
"MN152",34651.51005168004
"MN147",5576.17981536
"MN149",11465.326746719984
"MN145",16778.428378560006
"MN153",11740.482325440007
"MN130",16300.837075680016
"MN128",14718.164112000004
